ID_Vehicle,type,capacity,capacity_unit,consumption_rate,consumption_rate_unit,charge_efficiency,charge_power_max,charge_power_max_unit,discharge_efficiency,discharge_power_max,discharge_power_max_unit,charge_bidirectional,id_parking_at_home_profile,id_distance_profile
20096700221,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700221,20096700221
20096700241,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700241,20096700241
20096700242,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700242,20096700242
20096700271,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700271,20096700271
20096700281,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700281,20096700281
20096700291,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700291,20096700291
20096700292,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700292,20096700292
20096700331,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700331,20096700331
20096700341,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700341,20096700341
20096700591,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700591,20096700591
20096700592,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700592,20096700592
20096700593,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700593,20096700593
20096700621,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700621,20096700621
20096700641,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700641,20096700641
20096700642,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700642,20096700642
20096700661,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700661,20096700661
20096700791,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700791,20096700791
20096700792,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700792,20096700792
20096700861,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700861,20096700861
20096700961,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700961,20096700961
20096700962,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700962,20096700962
20096700991,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096700991,20096700991
20096701141,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701141,20096701141
20096701441,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701441,20096701441
20096701451,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701451,20096701451
20096701541,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701541,20096701541
20096701542,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701542,20096701542
20096701741,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701741,20096701741
20096701901,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701901,20096701901
20096701931,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701931,20096701931
20096701961,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096701961,20096701961
20096900021,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900021,20096900021
20096900022,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900022,20096900022
20096900061,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900061,20096900061
20096900221,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900221,20096900221
20096900371,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900371,20096900371
20096900411,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900411,20096900411
20096900581,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900581,20096900581
20096900621,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900621,20096900621
20096900651,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900651,20096900651
20096900661,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900661,20096900661
20096900751,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900751,20096900751
20096900851,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900851,20096900851
20096900961,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096900961,20096900961
20096901051,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096901051,20096901051
20096901061,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096901061,20096901061
20096901181,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20096901181,20096901181
20096901251,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096901251,20096901251
20096901311,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096901311,20096901311
20096901391,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20096901391,20096901391
