bc_index;building_categories_index;climate_region_index;Af;gebaudebauweise_fbw;Hop;Htr_w;Hve;CM_factor;Am_factor;Tset;average_effective_area_wind_west_east_red_cool;average_effective_area_wind_south_red_cool;average_effective_area_wind_north_red_cool;spec_int_gains_cool_watt;hwb_norm;user_profile
75;3;1;143.645;30;224.539;57.272;40.634;213505.516;3;20;4.667;1.167;0.648;3;168.302;4
76;3;1;151.571;30;135.506;114.203;42.876;213505.516;3;20;10.867;5.996;1.874;3;115.089;4
77;3;1;154.146;30;120.484;63.321;43.605;213505.516;3;20;8.1;2.168;1.141;3;89.651;4
78;3;1;152.423;30;115.973;70.611;43.117;213505.516;3;20;7.616;4.202;1.313;3;88.019;4
79;3;1;154.716;30;48.842;51.839;43.766;213505.516;3;20;8.532;1.845;1.153;3;44.126;4
80;3;1;151.438;20;36.715;91.879;42.839;148226.875;2.667;20;14.296;5.198;2.166;3;49.031;4
81;3;1;146.201;20;35.522;90.521;41.357;148226.875;2.667;20;14.095;5.125;2.136;3;49.584;4
82;3;1;170.843;20;37.063;105.869;48.328;148226.875;2.667;20;16.557;6.021;2.509;3;47.544;4
83;3;1;174.619;20;39.913;101.961;49.396;148226.875;2.667;20;15.878;5.774;2.406;3;46.997;4
84;3;1;168.428;20;37.546;102.903;47.645;148226.875;2.667;20;16.069;5.843;2.435;3;47.658;4
85;5;1;338.341;60;347.119;237.974;95.71;398415.375;3.5;20;21.925;11.52;3.716;3;122.556;4
86;5;1;318.3;50;339.602;205.379;90.041;338121.656;3.5;20;20.371;7.835;3.134;3;125.611;4
87;5;1;311.974;30;243.789;268.69;88.251;213505.516;3;20;25.468;15.463;4.548;3;108.693;4
88;5;1;369.127;30;201.239;425.103;104.419;213505.516;3;20;50.51;17.339;7.539;3;103.473;4
89;5;1;351.196;30;212.541;217.472;99.346;213505.516;3;20;20.82;12.054;3.653;3;83.422;4
90;5;1;408.553;30;207.825;259.685;115.571;213505.516;3;20;29.238;18.606;5.316;3;70.357;4
91;5;1;379.648;30;145.043;249.829;107.395;213505.516;3;20;36.131;10.996;5.236;3;62.709;4
92;5;1;380.643;30;73.049;200.307;107.676;213505.516;3;20;30.805;11.848;4.739;3;39.731;4
93;5;1;402.311;20;72.845;191.555;113.806;148226.875;2.667;20;25.339;15.385;4.525;3;38.198;4
94;5;1;348.114;20;65.393;174.005;98.475;148226.875;2.667;20;23.029;13.982;4.112;3;39.378;4
95;5;1;395.997;20;72.769;188.14;112.02;148226.875;2.667;20;24.871;15.1;4.441;3;38.341;4
96;5;1;316.493;20;62.169;161.202;89.53;148226.875;2.667;20;21.312;12.94;3.806;3;40.282;4
97;5;1;531.064;20;127.361;185.196;150.227;148226.875;2.667;20;23.715;14.399;4.235;3;38.3;4
98;6;1;674.343;60;597.736;397.913;190.758;398415.375;3.5;20;36.474;19.164;6.182;3;105.966;4
99;6;1;681.008;50;580.789;384.323;192.643;338121.656;3.5;20;38.77;14.911;5.965;3;103.114;4
100;6;1;622.298;30;369.937;460.634;176.036;213505.516;3;20;44.163;26.813;7.886;3;87.144;4
101;6;1;647.11;30;283.15;671.309;183.055;213505.516;3;20;80.196;27.53;11.97;3;88.987;4
102;6;1;671.68;30;292.266;377.036;190.005;213505.516;3;20;36.905;21.366;6.475;3;66.164;4
103;6;1;716.672;30;348.781;528.659;202.732;213505.516;3;20;60.431;38.456;10.987;3;72.305;4
104;6;1;721.126;30;248.742;430.583;203.992;213505.516;3;20;62.291;18.958;9.028;3;57.261;4
105;6;1;779.199;30;134.059;315.539;220.42;213505.516;3;20;48.224;18.548;7.419;3;34.999;4
106;6;1;668.798;20;115.347;262.898;189.19;148226.875;2.667;20;34.565;20.986;6.172;3;35.136;4
107;7;1;1528.129;60;1085.257;700.842;432.277;398415.375;3.5;20;63.891;33.57;10.829;3;85.478;4
108;7;1;1599.172;50;1253.412;697.073;452.374;338121.656;3.5;20;67.943;26.132;10.453;3;92.371;4
109;7;1;1238.428;30;800.963;712.964;350.327;213505.516;3;20;65.974;40.056;11.781;3;85.114;4
110;7;1;1812.347;30;771.085;1299.24;512.677;213505.516;3;20;152.428;52.326;22.75;3;73.118;4
111;7;1;2267.472;30;757.905;933.703;641.423;213505.516;3;20;91.031;52.702;15.97;3;51.378;4
112;7;1;1740.503;30;683.809;991.112;492.353;213505.516;3;20;112.927;71.863;20.532;3;58.326;4
113;7;1;2714.453;30;742.562;1010.169;767.865;213505.516;3;20;143.696;43.734;20.826;3;42.778;4
114;7;1;2538.368;30;410.046;677.715;718.054;213505.516;3;20;101.627;39.087;15.635;3;30.709;4
115;2;1;183.794;60;154.923;90.469;51.992;398415.375;3.5;20;7.443;4.894;1.371;3;98.222;4
116;2;1;166.934;50;144.823;122.822;47.222;338121.656;3.5;20;12.082;5.744;1.981;3;109.834;4
117;2;1;174.14;30;139.241;100.892;49.261;213505.516;3;20;10.037;4.533;1.619;3;100.105;4
118;2;1;175.609;30;145.132;140.003;49.676;213505.516;3;20;13.315;7.709;2.336;3;110.372;4
119;2;1;184.145;30;145.804;138.407;52.091;213505.516;3;20;14.753;5.993;2.305;3;106.244;4
