ID_Vehicle,type,capacity,capacity_unit,consumption_rate,consumption_rate_unit,charge_efficiency,charge_power_max,charge_power_max_unit,discharge_efficiency,discharge_power_max,discharge_power_max_unit,charge_bidirectional,id_parking_at_home_profile,id_distance_profile
20082700171,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700171,20082700171
20082700201,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700201,20082700201
20082700371,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700371,20082700371
20082700451,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700451,20082700451
20082700461,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700461,20082700461
20082700462,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700462,20082700462
20082700541,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700541,20082700541
20082700542,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700542,20082700542
20082700701,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700701,20082700701
20082700702,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700702,20082700702
20082700911,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700911,20082700911
20082700921,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700921,20082700921
20082700971,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700971,20082700971
20082700981,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082700981,20082700981
20082701001,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701001,20082701001
20082701081,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701081,20082701081
20082701201,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701201,20082701201
20082701251,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701251,20082701251
20082701341,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701341,20082701341
20082701401,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701401,20082701401
20082701431,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701431,20082701431
20082701591,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701591,20082701591
20082701611,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701611,20082701611
20082701681,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701681,20082701681
20082701682,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701682,20082701682
20082701711,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701711,20082701711
20082701731,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701731,20082701731
20082701732,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701732,20082701732
20082701733,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701733,20082701733
20082701811,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701811,20082701811
20082701841,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701841,20082701841
20082701861,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701861,20082701861
20082701871,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701871,20082701871
20082701991,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082701991,20082701991
20082702011,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702011,20082702011
20082702301,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702301,20082702301
20082702311,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702311,20082702311
20082702361,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702361,20082702361
20082702362,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702362,20082702362
20082702401,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702401,20082702401
20082702471,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702471,20082702471
20082702581,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702581,20082702581
20082702582,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702582,20082702582
20082702611,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702611,20082702611
20082702681,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702681,20082702681
20082702701,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702701,20082702701
20082702741,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702741,20082702741
20082702791,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702791,20082702791
20082702831,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702831,20082702831
20082702832,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702832,20082702832
20082702901,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702901,20082702901
20082702911,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082702911,20082702911
20082703051,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703051,20082703051
20082703052,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703052,20082703052
20082703091,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703091,20082703091
20082703111,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703111,20082703111
20082703112,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703112,20082703112
20082703271,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703271,20082703271
20082703351,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703351,20082703351
20082703371,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703371,20082703371
20082703421,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703421,20082703421
20082703451,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703451,20082703451
20082703491,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703491,20082703491
20082703551,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703551,20082703551
20082703601,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703601,20082703601
20082703611,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703611,20082703611
20082703661,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703661,20082703661
20082703751,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703751,20082703751
20082703761,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703761,20082703761
20082703782,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703782,20082703782
20082703831,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703831,20082703831
20082703841,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703841,20082703841
20082703881,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703881,20082703881
20082703991,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082703991,20082703991
20082704011,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704011,20082704011
20082704051,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704051,20082704051
20082704131,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704131,20082704131
20082704301,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704301,20082704301
20082704321,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704321,20082704321
20082704431,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704431,20082704431
20082704491,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704491,20082704491
20082704521,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704521,20082704521
20082704522,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704522,20082704522
20082704523,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704523,20082704523
20082704531,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704531,20082704531
20082704561,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704561,20082704561
20082704591,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704591,20082704591
20082704592,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704592,20082704592
20082704621,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704621,20082704621
20082704751,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704751,20082704751
20082704761,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704761,20082704761
20082704791,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082704791,20082704791
20082705112,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705112,20082705112
20082705141,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705141,20082705141
20082705321,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705321,20082705321
20082705361,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705361,20082705361
20082705661,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705661,20082705661
20082705662,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705662,20082705662
20082705701,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705701,20082705701
20082705721,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705721,20082705721
20082705761,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705761,20082705761
20082705831,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705831,20082705831
20082705931,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705931,20082705931
20082705932,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705932,20082705932
20082705971,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082705971,20082705971
20082706031,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706031,20082706031
20082706051,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706051,20082706051
20082706111,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706111,20082706111
20082706181,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706181,20082706181
20082706182,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706182,20082706182
20082706271,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706271,20082706271
20082706321,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706321,20082706321
20082706322,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706322,20082706322
20082706391,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706391,20082706391
20082706421,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706421,20082706421
20082706581,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706581,20082706581
20082706591,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706591,20082706591
20082706641,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082706641,20082706641
20082707021,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707021,20082707021
20082707041,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707041,20082707041
20082707061,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707061,20082707061
20082707062,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707062,20082707062
20082707091,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707091,20082707091
20082707101,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707101,20082707101
20082707121,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707121,20082707121
20082707141,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707141,20082707141
20082707221,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707221,20082707221
20082707222,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707222,20082707222
20082707232,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707232,20082707232
20082707261,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707261,20082707261
20082707341,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707341,20082707341
20082707342,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707342,20082707342
20082707391,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707391,20082707391
20082707392,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707392,20082707392
20082707401,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707401,20082707401
20082707461,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707461,20082707461
20082707462,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707462,20082707462
20082707481,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707481,20082707481
20082707531,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707531,20082707531
20082707571,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707571,20082707571
20082707572,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707572,20082707572
20082707611,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707611,20082707611
20082707612,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707612,20082707612
20082707721,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707721,20082707721
20082707771,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707771,20082707771
20082707991,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082707991,20082707991
20082708001,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082708001,20082708001
20082708021,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082708021,20082708021
20082708051,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082708051,20082708051
20082708161,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082708161,20082708161
20082708192,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082708192,20082708192
20082900051,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20082900051,20082900051
20082900161,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20082900161,20082900161
20082900191,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20082900191,20082900191
