Q_Heating_noDR;Q_Cooling_noDR;T_Room_noDR;Tm_t
10557,484717161733;0,0;19,99999999999999;15,414344841232042
9925,66459714793;0,0;20,000000000000014;15,751526294823863
9412,281496342051;0,0;20,0;16,025788932780106
8995,573047458629;0,0;19,999999999999996;16,248731270372783
8652,794162169537;0,0;20,000000000000004;16,430613283609496
8367,32104024022;0,0;20,0;16,579943155606937
8153,035807795699;0,0;19,99999999999999;16,699283803559553
7912,243138763022;0,0;19,99999999999997;16,805949732949763
7069,228595930957;0,0;20,00000000000001;17,15917929360712
6754,529006574878;0,0;20,000000000000004;17,32420330494232
6256,642362082105;0,0;19,999999999999996;17,54625207135854
6037,535584369156;0,0;20,000000000000004;17,66986195026149
5787,536446792254;0,0;20,0;17,799400133428193
5641,820686173677;0,0;20,0;17,89917314956759
5819,989838671247;0,0;20,000000000000004;17,853903282554274
6069,130159335716;0,0;20,000000000000007;17,75893639092391
6249,351019330043;0,0;19,999999999999993;17,675905546038205
6408,9149099777715;0,0;19,999999999999982;17,60298671407888
6542,872214883875;0,0;20,000000000000004;17,53995089041529
6655,546490637276;0,0;20,000000000000004;17,485966374350838
6770,6828639977275;0,0;20,000000000000007;17,436706623763552
6864,988868026256;0,0;20,000000000000004;17,393504251479936
6960,020388257847;0,0;19,99999999999999;17,353613560902833
7039,14610513185;0,0;20,000000000000014;17,318180571134242
7108,414193284568;0,0;20,000000000000007;17,286872036624338
7176,269616589485;0,0;20,000000000000014;17,25812801747953
7234,699851774328;0,0;20,000000000000007;17,23236637575839
7280,39284803248;0,0;20,000000000000018;17,210361491844086
7316,0464201367195;0,0;20,0;17,192113731647954
7358,787519339148;0,0;20,000000000000004;17,174842280789928
7381,501698768076;0,0;20,000000000000007;17,161375493732308
7347,986215219746;0,0;19,999999999999996;17,159193181783667
6079,218022859673;0,0;20,000000000000004;17,67064593671922
6028,881086717927;0,0;20,000000000000004;17,755593308863737
4473,521943650526;0,0;19,999999999999986;18,399796042634648
4541,0987522661735;0,0;20,000000000000007;18,46297553654638
4498,056637650639;0,0;19,999999999999986;18,48968491234563
3508,0235042178515;0,0;20,000000000000004;18,915728196628127
3405,6673553757096;0,0;20,00000000000001;19,03947074828978
4215,398582674161;0,0;19,99999999999999;18,731168998355777
4742,594291154921;0,0;19,999999999999996;18,471014252118117
5179,921938582664;0,0;19,99999999999999;18,25271125789549
5575,789050392043;0,0;20,00000000000002;18,064835586043298
5902,593522442346;0,0;19,999999999999996;17,905401044030434
6179,363538257032;0,0;19,99999999999999;17,77019337705074
6426,102308565864;0,0;20,000000000000007;17,653578552651332
6630,8583608407935;0,0;19,999999999999996;17,554307409833875
6811,465697940615;0,0;19,999999999999993;17,468776884231527
6969,809700748673;0,0;20,000000000000007;17,394640896717394
7093,881580187645;0,0;20,000000000000007;17,33252112443954
7186,626569550131;0,0;20,00000000000001;17,282291302692848
7265,376794259074;0,0;20,00000000000001;17,241065607448853
7330,855521358874;0,0;19,999999999999993;17,207092737982975
7399,075342438695;0,0;20,000000000000004;17,17678109004281
7444,235498773844;0,0;20,00000000000001;17,15228666284362
7440,445159364288;0,0;19,999999999999996;17,139034185704862
5634,608228098919;0,0;20,000000000000004;17,871865523552312
5738,144135557022;0,0;20,0;17,923481234753243
4526,64075412998;0,0;19,999999999999993;18,4207969688192
4946,8785299028295;0,0;20,000000000000007;18,318475758239618
5080,616497865166;0,0;20,0;18,255980504623672
4350,670116965253;0,0;19,999999999999993;18,566661517785416
4989,808372872189;0,0;20,00000000000001;18,37939583932217
5531,2628563603175;0,0;20,000000000000004;18,1437902643568
5959,11710977737;0,0;19,999999999999993;17,940924465715085
6344,464531277678;0,0;20,000000000000007;17,763496982231928
6688,595338900391;0,0;20,000000000000007;17,60716446460338
6977,466821422837;0,0;20,000000000000007;17,471748063162124
7252,211366525451;0,0;20,000000000000004;17,350467568783642
7479,019541618732;0,0;20,000000000000014;17,244974121029188
7680,248640388928;0,0;19,99999999999999;17,152572232499598
7861,583549158287;0,0;19,999999999999996;17,07081271237977
