bclass,bcat_map,constrp_map
DUE to the large number of rows the FULL data are exported in binary format only (Total number of rows: 88040)
3.690000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.700000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.710000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.720000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.730000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.740000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.750000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.760000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.770000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.780000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.790000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.800000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.810000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.820000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.830000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.840000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.850000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.860000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.870000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.880000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.890000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.900000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
3.910000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+00
3.920000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+00
3.930000000000000000e+02,1.000000000000000000e+00,3.000000000000000000e+00
3.940000000000000000e+02,1.000000000000000000e+00,4.000000000000000000e+00
3.950000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.960000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.970000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.980000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
3.990000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
4.010000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
4.020000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
4.030000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
4.040000000000000000e+02,1.000000000000000000e+00,1.000000000000000000e+00
4.050000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
4.060000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
4.070000000000000000e+02,1.000000000000000000e+00,2.000000000000000000e+00
