ID_Vehicle,type,capacity,capacity_unit,consumption_rate,consumption_rate_unit,charge_efficiency,charge_power_max,charge_power_max_unit,discharge_efficiency,discharge_power_max,discharge_power_max_unit,charge_bidirectional,id_parking_at_home_profile,id_distance_profile
20015300471,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015300471,20015300471
20015300651,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015300651,20015300651
20015300652,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015300652,20015300652
20015300731,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015300731,20015300731
20015300931,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015300931,20015300931
20015301012,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301012,20015301012
20015301071,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301071,20015301071
20015301171,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301171,20015301171
20015301271,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301271,20015301271
20015301471,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301471,20015301471
20015301491,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301491,20015301491
20015301751,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301751,20015301751
20015301811,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301811,20015301811
20015301851,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301851,20015301851
20015301931,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301931,20015301931
20015301932,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301932,20015301932
20015301971,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015301971,20015301971
20015302111,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015302111,20015302111
20015302191,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20015302191,20015302191
20015500031,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015500031,20015500031
20015500132,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015500132,20015500132
20015500331,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20015500331,20015500331
20015500751,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015500751,20015500751
20015500771,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20015500771,20015500771
