ID_Building;type;construction_period_start;construction_period_end;person_num;Af;Hop;Htr_w;Hve;CM_factor;Am_factor;internal_gains;effective_window_area_west_east;effective_window_area_south;effective_window_area_north;grid_power_max
1;SFH;2002;2008;4;168.32;226.236;156.036;47.614;213505.516;3;3;10.483;4.368;2.621;21000
2;MFH;2002;2008;20;894.928;684.21;462.035;253.157;213505.516;3;3;30.929;12.887;7.732;2100000
