ID_Vehicle;type;capacity;capacity_unit;consumption_rate;consumption_rate_unit;charge_efficiency;charge_power_max;charge_power_max_unit;discharge_efficiency;discharge_power_max;discharge_power_max_unit;charge_bidirectional
1;electricity;62100;Wh;50;Wh/km;0.95;6133;W;0.96;6133;W;1
2;electricity;0;Wh;0;Wh/km;0;0;W;0;0;W;0
