ID_Vehicle,type,capacity,capacity_unit,consumption_rate,consumption_rate_unit,charge_efficiency,charge_power_max,charge_power_max_unit,discharge_efficiency,discharge_power_max,discharge_power_max_unit,charge_bidirectional,id_parking_at_home_profile,id_distance_profile
20051904631,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051904631,20051904631
20051904741,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051904741,20051904741
20051904912,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20051904912,20051904912
20051904951,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20051904951,20051904951
20051904952,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051904952,20051904952
20051905161,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20051905161,20051905161
20051905821,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20051905821,20051905821
20051905851,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051905851,20051905851
20051905901,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20051905901,20051905901
20051905902,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051905902,20051905902
20051906291,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20051906291,20051906291
20051906741,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051906741,20051906741
20051906971,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051906971,20051906971
20051907121,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907121,20051907121
20051907122,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907122,20051907122
20051907191,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907191,20051907191
20051907561,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907561,20051907561
20051907571,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907571,20051907571
20051907691,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907691,20051907691
20051907861,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907861,20051907861
20051907921,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051907921,20051907921
20051908161,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908161,20051908161
20051908162,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908162,20051908162
20051908163,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908163,20051908163
20051908471,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908471,20051908471
20051908851,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908851,20051908851
20051908881,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908881,20051908881
20051908891,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908891,20051908891
20051908911,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908911,20051908911
20051908931,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20051908931,20051908931
20052100211,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100211,20052100211
20052100491,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100491,20052100491
20052100492,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100492,20052100492
20052100811,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100811,20052100811
20052100812,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100812,20052100812
20052100851,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100851,20052100851
20052100852,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100852,20052100852
20052100891,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100891,20052100891
20052100892,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100892,20052100892
20052100991,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052100991,20052100991
20052101011,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101011,20052101011
20052101091,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101091,20052101091
20052101171,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101171,20052101171
20052101251,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101251,20052101251
20052101611,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101611,20052101611
20052101612,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101612,20052101612
20052101651,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101651,20052101651
20052101671,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101671,20052101671
20052101672,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101672,20052101672
20052101691,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101691,20052101691
20052101831,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101831,20052101831
20052101911,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101911,20052101911
20052101971,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052101971,20052101971
20052102031,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102031,20052102031
20052102131,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102131,20052102131
20052102171,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102171,20052102171
20052102311,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102311,20052102311
20052102391,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102391,20052102391
20052102431,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102431,20052102431
20052102432,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102432,20052102432
20052102531,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102531,20052102531
20052102631,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102631,20052102631
20052102651,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102651,20052102651
20052102652,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102652,20052102652
20052102771,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102771,20052102771
20052102911,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102911,20052102911
20052102912,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052102912,20052102912
20052103111,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103111,20052103111
20052103252,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103252,20052103252
20052103311,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103311,20052103311
20052103592,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103592,20052103592
20052103631,electricity,38000,Wh,153,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103631,20052103631
20052103751,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103751,20052103751
20052103771,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103771,20052103771
20052103851,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103851,20052103851
20052103852,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052103852,20052103852
20052104011,electricity,100000,Wh,203,Wh/km,0.95,6130,W,0.9,6130,W,0,20052104011,20052104011
20052104291,electricity,69000,Wh,188,Wh/km,0.95,6130,W,0.9,6130,W,0,20052104291,20052104291
